domain,total,M,F,18-24,25-34,35-44,45-54,>=55
biysk.all.biz,5,5,0,0,5,0,0,0
utichka.ru,2,0,2,0,0,0,0,2
websprav.ru,4,1,3,2,1,1,0,0
dobroedelo.mts.ru,3,1,0,0,0,1,0,0
best.moy-forum.net,2,2,0,2,0,0,0,0
mirfactov.com,268,115,149,67,57,111,16,13
optline.com.ua,98,0,98,0,60,38,0,0
zvezdaonline.com,7,4,3,0,2,0,5,0
taldom.miltor.ru,1,1,0,0,1,0,0,0
brndrm.com,134,45,80,8,71,34,12,0
gtyuning.ru,1,1,0,0,1,0,0,0
sellfile.ucoz.de,1,0,1,0,1,0,0,0
asadove.ru,1,0,1,1,0,0,0,0
xn----7sbenuecdzegfvo8nub.xn--p1ai,1,1,0,0,0,0,1,0
ww2.copart.com,7,7,0,0,7,0,0,0
biznes-active.com,1,1,0,0,0,1,0,0
wiforex.com,1,1,0,0,1,0,0,0
alyans-biisk.biysk24.ru,1,1,0,0,1,0,0,0
google-body-browser.ru.uptodown.com,2,2,0,0,2,0,0,0
infowave.ru,1,1,0,0,0,1,0,0
vsevpluse.ru,1,1,0,0,1,0,0,0
answerstop.org,1,1,0,0,1,0,0,0
belgianrail.be,1,0,1,0,0,1,0,0
ruspatriotrus.narod.ru,2,0,2,0,0,2,0,0
radyodinled.com,2,2,0,0,2,0,0,0
shemyvyazanija.ru,17,1,16,2,3,9,3,0
mods3d.ru,2,0,2,0,0,0,2,0
statuses.online.ua,14,9,5,0,8,6,0,0
samodelkinoblog.com,123,8,81,0,4,33,41,11
worldcrunch.com,2,2,0,0,0,2,0,0
zdorovie-krasota.kaliningradskaya-oblast.classified.klops.ru,8,0,8,0,0,8,0,0
madalinskaya.3dn.ru,4,4,0,0,0,0,4,0
smallbay.ru,38,7,31,1,10,25,1,1
xxx1xxx.ru,1,1,0,0,0,0,1,0
chelyabinsk.003ms.ru,13,4,9,0,2,5,6,0
sarlive.ru,2,1,1,0,1,0,1,0
torrent.by,2,1,1,0,1,0,0,1
freevideo.today,1,1,0,0,0,1,0,0
natashkaaae.beon.ru,1,0,1,0,0,1,0,0
belmathematics.by,1,0,1,0,1,0,0,0
gvozdikova.ucoz.ru,10,8,2,0,8,2,0,0
wantedmovies.com,9,9,0,0,9,0,0,0
allapt.ru,2,1,1,0,0,1,1,0
muza.name,16,1,15,0,6,10,0,0
pozirim.ru,2,0,2,0,0,2,0,0
oreshkov.net,8,0,8,0,0,0,8,0
mascus.com,1,1,0,0,1,0,0,0
yestour.ru,1,0,1,0,0,0,1,0
jenskoe-zdorovie.com,2,0,2,0,0,0,2,0
forum.steelmuscle.ru,1,1,0,1,0,0,0,0
westhouse.ru,1,0,1,0,1,0,0,0
vipkolesa.ru,1,1,0,0,0,1,0,0
rusperson.com,2,0,2,0,2,0,0,0
lp.lphant.com,1,1,0,0,0,1,0,0
ooogelingen.ru,2,2,0,0,2,0,0,0
bydom.ru,2,1,1,0,1,1,0,0
green-tea.tv,1,0,1,0,0,0,1,0
tritroichki.narod.ru,1,1,0,0,0,1,0,0
alcoformer.ru,1,0,1,1,0,0,0,0
mm-football.ru,1,1,0,1,0,0,0,0
knittingforum.ru,3,0,3,0,0,3,0,0
eshape.ru,2,0,2,0,0,2,0,0
josehcantu.com,1,1,0,0,0,1,0,0
nord-news.ru,20,14,5,5,1,11,2,0
filthycampus.com,8,8,0,0,2,6,0,0
npotamara.ru,2,2,0,0,0,2,0,0
build-price.ru,3,3,0,0,3,0,0,0
electrosad.ru,27,20,4,4,2,14,4,0
newsofstars.ru,3,3,0,0,3,0,0,0
qarabagxeber.com,2,2,0,0,0,2,0,0
teplo-lis.ru,9,6,3,0,2,6,1,0
iqlib.ru,1,0,1,1,0,0,0,0
advocate.com,11,0,11,11,0,0,0,0
overlock.ru,6,3,3,0,2,1,2,1
solpolyana.ru,22,19,0,0,0,19,0,0
fishingkalina.ru,10,9,1,2,1,5,2,0
blackmailers.ru,1,1,0,0,1,0,0,0
bus-terminal.ru,3,1,0,0,0,1,0,0
banki-m.ru,10,7,3,0,4,6,0,0
flashgamestv.ru,4,0,4,0,0,0,4,0
legal-forum.ru,11,8,3,1,4,6,0,0
ziare.com,1,1,0,0,0,1,0,0
yellow-turtle.ru,1,1,0,0,0,0,1,0
bitmachine.org,8,8,0,0,0,8,0,0
almash.ru,6,5,1,0,1,5,0,0
w7.am15.net,6,0,6,2,4,0,0,0
china-discount.ru,7,0,7,0,7,0,0,0
likeni.ru,13,6,6,5,6,1,0,0
mojomarketplace.com,1,1,0,0,1,0,0,0
m.kavkaz-uzel.ru,8,7,0,0,7,0,0,0
geopolitica.ru,1,0,1,1,0,0,0,0
chessdeti.ru,3,3,0,0,0,3,0,0
life-profit.ru,15,14,1,0,6,8,1,0
ferrum-body.ru,118,79,24,11,66,17,9,0
moscowstud.ru,2,2,0,0,0,2,0,0
newsil.ru,18,10,8,0,14,1,3,0
garmonia-finplus.com,6,6,0,0,6,0,0,0
best-of-news.ru,6,0,6,0,6,0,0,0
bebo.com,1,1,0,0,1,0,0,0
aes.name,1,1,0,0,1,0,0,0
xn----itbbjdlce1exbl.xn--p1ai,3,0,3,0,0,3,0,0
usvisa.russian-club.net,6,6,0,0,6,0,0,0
pagetour.org,2,2,0,0,0,1,1,0
malenkieidei.ru,1,0,1,0,0,1,0,0
blagoveshchensk.openrussia.ru,8,0,8,0,0,8,0,0
feastoffun.com,1,1,0,0,0,1,0,0
seconda.ru,1,1,0,0,1,0,0,0
modniy-dvorik.ru,9,0,9,0,0,9,0,0
sandoor.ru,1,1,0,0,1,0,0,0
paint-shop.ru,1,0,1,0,0,1,0,0
eregylmonsupp1980.narod.ru,1,1,0,0,0,1,0,0
masterklass-krasivo.ru,7,5,2,0,3,2,0,2
clouds.ru,6,0,6,0,4,0,2,0
bible-online.net,1,1,0,0,0,1,0,0
pmo.profnauka.ru,3,0,3,0,3,0,0,0
stendy.ru,5,0,5,0,0,5,0,0
pilot.ru,1,0,1,0,0,1,0,0
flywer.ru,1,0,1,0,1,0,0,0
bestoffice.ru,6,4,2,5,1,0,0,0
petelki.com.ua,136,7,127,5,49,59,19,2
vevelane.com,1,0,1,0,0,1,0,0
cashincredita.build2.ru,1,1,0,0,1,0,0,0
referatmarket.org.ua,1,0,1,0,1,0,0,0
soblazn-3-4seria-smotreti-online.blogspot.ca,3,0,3,0,0,0,0,3
inmarketway.ucoz.de,1,0,1,0,0,1,0,0
mywordpress.ru,8,2,5,0,2,5,0,0
dm-realty.ru,3,0,3,0,3,0,0,0
easyinformatics.ru,1,1,0,0,0,1,0,0
knd.findcompany.ru,1,0,1,0,0,1,0,0
bestfish.ru,12,12,0,0,12,0,0,0
plombaural.ru,4,4,0,0,1,3,0,0
protattoo.blogspot.ru,2,0,2,0,2,0,0,0
lines-x.ru,1,0,1,0,1,0,0,0
elizabeth-home.com.ua,1,1,0,0,0,0,1,0
clubsandero.ru,24,19,5,0,4,15,5,0
elektronika.rukodelkino.com,2,0,2,0,0,2,0,0
freelib.in.ua,1,1,0,0,0,1,0,0
money.kyivstar.ua,1,0,1,0,1,0,0,0
karakyli.ru,1,0,1,0,1,0,0,0
music70-80.narod.ru,10,5,3,0,2,5,0,1
my-3d-sexpics.com,2,2,0,2,0,0,0,0
altair54.ru,1,0,1,1,0,0,0,0
1info.net,4,3,0,0,1,1,0,1
www47.zippyshare.com,5,4,0,0,1,3,0,0
rus-tur.com,2,0,2,0,2,0,0,0
faraon.com.kz,6,3,3,0,0,6,0,0
infosutra.com,2,0,2,0,1,1,0,0
klikabol.com,36,5,15,0,1,1,16,2
shop.avanta.ru,12,11,1,0,0,2,9,1
putevki.com.ua,8,4,4,0,0,2,6,0
luboeporno.com,2,2,0,0,0,2,0,0
oxforddictionaries.com,9,8,1,1,8,0,0,0
doulike.ru,7,7,0,0,0,0,7,0
fenechka.net,1,1,0,0,1,0,0,0
nadorecept.ru,1,1,0,0,1,0,0,0
student.zoomru.ru,88,30,55,12,38,24,11,0
krasnodar.animalcare.ru,1,0,1,0,1,0,0,0
nacbez.ru,1,1,0,0,0,0,1,0
nahodka.dostupmarket.ru,1,0,1,1,0,0,0,0
perm.adiso.ru,1,1,0,0,1,0,0,0
stepansuvorov.com,4,4,0,0,2,0,0,2
animal.ru,200,60,138,11,84,74,28,1
foxm00n.blogspot.ru,1,0,1,0,1,0,0,0
raspison.narod.ru,1,1,0,0,0,0,1,0
ds166.centerstart.ru,1,0,1,0,0,1,0,0
alisa-cake.ru,6,0,6,0,6,0,0,0
jurnalik.org,8,3,5,2,1,3,2,0
aztekium.pl,1,0,1,0,0,1,0,0
stavim-gaz.ru,1,1,0,0,0,0,1,0
service-home.com.ua,9,9,0,0,6,3,0,0
ll.at.ua,83,83,0,0,0,83,0,0
mamas.ru,1,0,1,0,0,1,0,0
vash-razmer.ru,5,0,5,0,5,0,0,0
teplo-vk.ru,48,42,2,4,21,15,0,4
visitestonia.com,24,20,3,0,20,0,3,0
l-a.by,1,0,1,0,0,0,1,0
krasnodar.red-square.ru,44,29,12,0,41,0,0,0
digit61.ru,1,1,0,0,1,0,0,0
anfiz.ru,9,3,6,5,0,4,0,0
imcru.info,1,0,1,0,0,0,1,0
all-manuals.net,85,26,42,2,26,25,12,3
investigationdiscovery.com,1,1,0,0,1,0,0,0
turciya.forum911.ru,1,1,0,0,0,1,0,0
medika-med.ru,1,1,0,1,0,0,0,0
art-olonya.ru,5,4,1,0,1,4,0,0
baby-time.ucoz.ru,2,2,0,0,0,2,0,0
ledigrez.com,3,3,0,0,2,1,0,0
delaytesami.com,3,3,0,0,2,0,1,0
nochka.zalog-pobedi.ru,1,0,1,0,0,0,1,0
sevastopol.info,203,11,3,5,6,3,0,0
naidem-vse.ru,1,0,1,0,0,0,1,0
xxc.ru,5,3,2,3,1,1,0,0
naturateka.ru,3,2,1,0,1,2,0,0
ryanfait.com,3,3,0,0,2,1,0,0
bestdeluxewatch.com,1,1,0,0,0,0,0,1
torrentino.net,2,2,0,0,0,2,0,0
helpanu.ru,2,2,0,0,0,2,0,0
diano4ka.ru,1,0,1,0,1,0,0,0
yoga-good.ru,1,0,1,0,0,1,0,0
ml-center.ru,2,1,1,0,1,1,0,0
russianclassics.ru,1,0,1,0,0,1,0,0
kazan.narule.ru,9,9,0,0,2,7,0,0
egipet.veltra.ru,2,1,1,0,0,1,1,0
comgun.ru,40,31,7,0,22,7,8,1
turnik-online.ru,1,1,0,0,1,0,0,0
filmon.com,68,8,58,0,23,42,1,0
moirus.ru,7,1,6,0,3,4,0,0
maham.ru,9,5,4,0,3,5,1,0
stroymasterskaya.ru,6,1,0,0,0,1,0,0
certifix.ru,2,0,2,0,2,0,0,0
msk-lubercy.ru,3,0,3,0,0,0,0,3
registraciya-domenov.ru,1,1,0,0,0,1,0,0
zingaya.com,2,2,0,0,2,0,0,0
fitnessfm.net,1,1,0,0,1,0,0,0
pkbct.ru,1,0,1,0,1,0,0,0
tosti.ru,15,2,13,0,9,2,4,0
tomsk.kp.ru,1,1,0,0,0,0,0,1
gprs-gsm.ru,9,8,1,1,0,0,8,0
lovecard.su,4,3,1,0,2,2,0,0
vertikalru.ru,2,2,0,0,2,0,0,0
banhoriot.komne.ru,2,0,2,0,2,0,0,0
pixelface.ru,1,1,0,0,1,0,0,0
rybkovskaya.ru,6,1,5,0,0,5,1,0
maljutka.ru,2,0,2,0,1,1,0,0
javaboom.ru,12,9,3,0,3,9,0,0
bizentropy.biz,1,0,1,0,1,0,0,0
triport.ru,1,1,0,0,0,1,0,0
o53xo.mvvc44tv.cmle.ru,1,1,0,0,0,1,0,0
diesel22.ru,1,1,0,0,1,0,0,0
astronews.ru,46,39,4,26,12,5,0,0
babanina.ucoz.ru,1,0,1,1,0,0,0,0
m-sidenina.narod.ru,3,0,3,0,0,3,0,0
xn--48-6kc3balghb0m.xn--p1ai,5,0,5,0,0,5,0,0
radiodelo.ru,4,2,0,0,0,0,0,2
ayurvedic.ru,4,0,4,0,0,4,0,0
club-best3.ucoz.ru,1,1,0,0,0,1,0,0
games.totalwars.ru,15,15,0,5,10,0,0,0
economic_mathematics.academic.ru,4,1,3,1,2,1,0,0
triumf.ru,2,0,2,0,2,0,0,0
gamesforbaby.org,9,5,4,0,5,4,0,0
gine.3dn.ru,2,2,0,0,0,2,0,0
mitosstroy.ru,4,0,4,4,0,0,0,0
world.intimissimi.com,2,0,2,0,2,0,0,0
s113.photobucket.com,1,1,0,1,0,0,0,0
printsip.ru,93,58,22,2,46,2,19,11
bibnout.ru,2,0,2,0,1,1,0,0
penza-job.ru,4,0,4,0,1,3,0,0
jaw-fanfiction.narod.ru,1,0,1,0,1,0,0,0
traderforeks.at.ua,113,57,54,2,49,39,21,0
speak-english-today.com,7,0,7,0,7,0,0,0
glavpooltorg.ru,5,5,0,0,0,4,1,0
produces.ru,1,1,0,0,0,1,0,0
xn--51-emcdf.xn--p1ai,1,1,0,0,1,0,0,0
lotgame.net,4,0,4,0,0,4,0,0
imystery.ru,1,1,0,0,1,0,0,0
lafranceapoil.com,24,24,0,0,5,0,0,19
voltaire.ru,2,2,0,0,0,2,0,0
selectitaly.com,1,0,1,0,0,1,0,0
squadron.blyogka-thattdone.pw,1,1,0,1,0,0,0,0
egorievsk.hh.ru,1,1,0,0,1,0,0,0
resport.ru,5,4,1,0,4,0,1,0
virgo.astrozodiak.org,6,1,5,3,1,2,0,0
jeepon.ru,11,5,6,0,0,11,0,0
profcomdiplom.ru,1,1,0,1,0,0,0,0
xn--c1adpoeect8c.xn--p1ai,3,0,3,3,0,0,0,0
znakomstvas.znakomstvas2014.com,42,42,0,0,9,29,0,4
goal-bets.com,1339,1339,0,0,1152,0,187,0
heftig.co,10,10,0,0,0,10,0,0
econteor.ru,4,2,2,1,2,1,0,0
djstocks.ru,7,7,0,0,0,7,0,0
lavkachudec.ucoz.ru,11,1,10,0,4,4,2,1
fengshuy.ru,1,1,0,0,1,0,0,0
russianlegalsystem.com,6,4,2,0,1,3,2,0
suhob-podvorie.ru,5,1,4,0,2,1,1,1
wkusno-polesno.ru,24,8,16,0,0,6,4,14
pddexam.com,8,8,0,0,1,7,0,0
formo.ua,1,0,1,0,0,1,0,0
retailidea.ru,3,0,3,0,0,3,0,0
photofilters.funphotobox.com,1,0,1,0,0,1,0,0
agrosnab150.ru,1,0,1,0,1,0,0,0
udruga-1988.my1.ru,1,1,0,0,1,0,0,0
orriesse.ucoz.ru,3,3,0,0,0,3,0,0
digitrode.ru,1,1,0,0,1,0,0,0
jkc.thespatialists.com,3,1,2,2,1,0,0,0
khusainov.com,1,0,1,0,0,0,1,0
metalloiskateli-info.ru,4,4,0,0,2,1,1,0
help.mob.org.ru,1,0,1,1,0,0,0,0
denejka.info,1,0,1,0,0,1,0,0
woomenlady.ru,1,0,1,0,0,1,0,0
physmatica.ru,1,0,1,0,0,1,0,0
cliphub.xxx,2,2,0,1,1,0,0,0
live-sevastopol.com,1,1,0,1,0,0,0,0
life-with-dream.org,12,2,9,8,3,0,0,0
shashonok.narod.ru,2,0,2,2,0,0,0,0
detskijsad7.ru,1,0,1,0,1,0,0,0
dos.krasby.ru,7,3,4,0,0,7,0,0
ryazan.webprorab.com,1,1,0,0,0,0,0,1
azconsult.ru,5,1,4,0,4,0,1,0
prazdnikovna.ru,1,0,1,0,0,1,0,0
gulliver-nn.ru,2,0,2,0,2,0,0,0
apriori-invest.ru,4,2,2,0,2,2,0,0
free-time.ru,2,0,2,0,0,2,0,0
tvservice.org,16,7,8,1,2,9,0,3
hkryazan2003.ucoz.ru,3,3,0,0,0,3,0,0
kitru.ru,16,2,14,0,2,0,14,0
garden.fishing-fish.ru,2,2,0,0,0,0,2,0
filelog.net,1,1,0,0,1,0,0,0
ecomyzone.com,1,1,0,0,0,1,0,0
beltehno.elitno.net,1,1,0,0,0,1,0,0
uralarmatu.ru,6,5,0,0,0,5,0,0
forumdvrobot.ru,3,3,0,0,2,1,0,0
newvud.ru,3,3,0,0,0,3,0,0
mf0.me,9,9,0,2,6,1,0,0
vidiscope.net,1,0,1,0,1,0,0,0
prohelsinki.fi,2,0,2,0,2,0,0,0
ukon-pharm.ru,1,1,0,0,0,1,0,0
psystatus.ru,1,0,1,0,0,1,0,0
works.if.ua,6,0,6,0,6,0,0,0
minecraft-zet.ru,2,0,2,0,2,0,0,0
funpijam.ru,16,0,16,0,15,1,0,0
smolbattle.ru,8,3,5,0,0,7,1,0
adobe.com,10,7,3,0,5,4,1,0
music.rekom.ru,1,0,1,0,0,0,1,0
polismed.com,161,61,98,11,49,43,33,23
nalogcity.ru,42,29,13,0,21,9,1,11
redcat7.ru,4,1,3,0,1,0,3,0
plyk.ru,1,1,0,1,0,0,0,0
vld.myquilt.ru,1,1,0,0,0,1,0,0
radiobells.com,84,75,4,0,4,73,0,2
otzyvua.net,29,19,10,0,15,8,6,0
ergashaka.ru,14,7,7,2,7,5,0,0
avtoprof.ru,10,4,1,1,4,0,0,0
connectionivoirienne.net,1,1,0,0,1,0,0,0
kizil.bezformata.ru,1,0,1,0,0,1,0,0
my-youtube.ru,2,0,2,0,0,0,2,0
makarenko-museum.narod.ru,3,0,3,0,2,0,1,0
hochu.biz,1,1,0,0,1,0,0,0
sound-midi.ru,5,5,0,0,5,0,0,0
surfearner.com,104,72,30,0,15,41,46,0
widget3.linkwithin.com,3,0,3,0,2,1,0,0
onlinegames131.net,2,0,2,0,0,2,0,0
breaknews.ru,93,73,17,2,18,32,26,12
privatik.com,2,2,0,0,0,2,0,0
stabilizator.com,1,0,1,0,1,0,0,0
otwe.ru,2,2,0,0,1,1,0,0
autozapchasti.biz,3,1,2,0,2,0,1,0
evdokimov.info,1,1,0,0,1,0,0,0
nesvobodnye.ucoz.ru,1,1,0,0,0,0,1,0
moscow-gorod.ru,1,0,1,0,1,0,0,0
anti-malware.ru,1,1,0,0,1,0,0,0
pagani.com,1,1,0,0,1,0,0,0
vivatcafe.ru,2,1,1,1,1,0,0,0
belsale.autobazar.by,1,0,1,1,0,0,0,0
coursesweb.net,2,2,0,0,2,0,0,0
zooinform.com,3,0,3,0,0,3,0,0
izhevsk.avizinfo.ru,6,6,0,0,6,0,0,0
gect.ru,6,1,5,0,3,3,0,0
bambinomi.ru,6,2,4,2,1,1,2,0
rnd.allnice.ru,2,2,0,0,2,0,0,0
mototrubka.ucoz.ru,7,7,0,0,0,7,0,0
лада2111.рф,5,5,0,2,1,1,1,0
de.alaplaya.net,1,0,1,0,1,0,0,0
bukoteka.ru,2,0,2,1,1,0,0,0
mtcul.ru,1,1,0,0,0,1,0,0
upskirtmania.ru,2,0,2,0,2,0,0,0
only-exclusive.ru,1,1,0,0,0,0,1,0
azadxeber.net,11,11,0,0,3,7,0,1
kazanova.ua,1,1,0,0,1,0,0,0
uz-kino.asia,7,0,7,3,0,1,3,0
onlinezayavkanacredit.ru,12,7,5,0,9,3,0,0
jemand.ru,1,1,0,0,0,0,1,0
centradm.ru,8,5,2,0,0,7,0,0
avtolyubiteli.com,7,4,2,0,4,2,0,0
61432.ru.all.biz,1,1,0,0,1,0,0,0
gold.ru,7,6,1,0,6,0,1,0
smolensk.rusplt.ru,14,14,0,0,0,2,12,0
sezyrin-sait.ucoz.ru,1,1,0,0,1,0,0,0
inn-a.ru,1,0,1,0,0,0,1,0
posrednikovzdes.net,15,9,6,0,1,6,0,8
mfa.gr,21,8,13,0,21,0,0,0
balttrailer.ru,1,1,0,0,0,0,1,0
novorossiysk.bezformata.ru,1,0,1,0,0,0,1,0
wfhack.3dn.ru,8,8,0,0,8,0,0,0
granny-porn.org,7,5,0,0,0,5,0,0
polimer-stamp.narod.ru,1,1,0,0,1,0,0,0
vita-ros.ru,2,1,0,0,0,1,0,0
naperekate.narod.ru,10,8,0,0,0,8,0,0
superidea.ru,1,0,1,1,0,0,0,0
vkusnopoem.ru,18,7,11,2,5,10,1,0
astro-future.narod.ru,5,0,5,3,0,1,1,0
dontsmoke.narod.ru,1,0,1,1,0,0,0,0
pereskaz.com,6,0,6,0,2,0,4,0
rybalka73.ru,14,14,0,14,0,0,0,0
vyazaniye.com,21,0,20,0,0,18,2,0
spankwire.com,313,236,19,24,147,45,16,23
knyazev-spb.ru,2,2,0,0,0,2,0,0
vtormet.narod.ru,3,2,1,0,2,1,0,0
auto-click2.yandex.ru,110,89,2,9,31,37,4,10
fc99.ru,2,2,0,0,2,0,0,0
rezba52.ru,2,0,2,0,0,0,0,2
homeplans.ru,8,4,3,3,2,1,0,1
veju.infomsk.ru,2,1,0,0,1,0,0,0
rus.doyki.org,1,0,1,0,1,0,0,0
foto-lazer-epilation.ru,1,0,1,1,0,0,0,0
groupadultparty.eu,1,0,1,0,1,0,0,0
pics.md.local,4,4,0,0,0,4,0,0
patriot4x4.ru,52,51,1,0,19,20,13,0
kidswear.ru,1,0,1,0,0,0,0,1
rodzaevsky.narod.ru,1,1,0,0,1,0,0,0
wbc2t.ru,25,6,19,1,7,16,1,0
nadaguides.com,2,2,0,0,2,0,0,0
sperma-studio.com,1,1,0,0,1,0,0,0
stihinasheylyubvi.ru,86,24,58,5,20,33,21,3
katalog-ori.ru,54,2,52,0,54,0,0,0
knigosite.org,30,11,19,1,8,10,11,0
tv-korolev.ru,1,1,0,0,1,0,0,0
comagency.ru,2,1,1,0,1,0,1,0
doseng.ucoz.ru,1,0,1,0,1,0,0,0
odindoma.at.ua,1,0,1,0,1,0,0,0
dyxioptom.ru,2,0,1,0,1,0,0,0
gps-forum.ru,3,3,0,0,0,3,0,0
natalliakalina.diary.ru,1,1,0,0,1,0,0,0
coolmebel.net,6,0,6,0,6,0,0,0
thesimsresource.com,5,0,5,5,0,0,0,0
auto.vbelgorode.com,4,0,1,0,0,1,0,0
ya-uchitel.ru,20,13,7,4,12,3,1,0
onjava.com,1,1,0,0,0,1,0,0
givefoto.ru,9,9,0,0,0,0,9,0
exotiki.ru,25,23,2,0,0,23,2,0
mxgroup.ru,1,1,0,0,0,1,0,0
b-g.by,2,1,0,0,1,0,0,0
mature-coast.com,1,1,0,0,0,1,0,0
click.email.tinkoff.ru,1,1,0,0,1,0,0,0
&referrer=${referer_url},192,120,72,10,58,88,32,4
magic-fabrics.pp.ua,12,0,12,0,12,0,0,0
jpsk.ru,7,0,7,0,0,7,0,0
autocentrum.ru,2,0,2,0,0,2,0,0
vision7.ru,7,2,5,0,0,7,0,0
health.planetfem.com,26,26,0,0,0,26,0,0
englishgu.ru,9,7,2,0,2,7,0,0
tattooinfo.ru,27,18,9,6,2,19,0,0
covermusic.com.ua,7,0,7,0,7,0,0,0
silvercoinsworld.ru,1,1,0,0,1,0,0,0
дешевыетовары.рф,1,0,1,0,1,0,0,0
sorokulya.ru,7,4,3,0,1,4,1,1
chitamed.ru,7,0,7,0,5,0,2,0
revitaliz.biz,3,0,3,0,0,3,0,0
smf.by,2,0,2,2,0,0,0,0
dobroman.ru,7,5,2,0,3,4,0,0
rusima.ru,1,0,1,0,1,0,0,0
agatsukan.ru,16,0,16,0,16,0,0,0
informiran365.net,5,5,0,0,0,5,0,0
superskachka.net,2,0,2,0,0,2,0,0
reklammingggg.ru,1,0,1,0,1,0,0,0
angelday.at.ua,2,0,2,0,0,0,2,0
triptoeverywhere.ru,3,0,1,0,1,0,0,0
yaroslavl.retarka.ru,1,1,0,0,0,0,1,0
kitegu.ru,1,1,0,0,0,1,0,0
narodmed-na.ru,24,22,0,0,3,14,2,3
mbdevice.ru,6,5,1,0,1,5,0,0
miove.tv,47,31,13,4,9,26,4,1
dom-data.ru,1,1,0,0,1,0,0,0
crossworder.ru,7,7,0,0,7,0,0,0
kak-na-android.ru,1,1,0,1,0,0,0,0
anonymcasino.com,1,1,0,0,1,0,0,0
pskoil.ru,1,1,0,0,0,1,0,0
wow-zona.3dn.ru,1,1,0,1,0,0,0,0
cvetindigo.ru,2,0,2,0,0,2,0,0
minimashinka.ru,10,8,2,0,0,8,2,0
odtdocs.ru,1,0,1,1,0,0,0,0
cblogs.ru,1,0,1,0,1,0,0,0
lineage2-zatochka.narod.ru,2,2,0,0,0,2,0,0
tuning-club.kz,1,1,0,0,0,0,0,1
pdmsh.ru,1,0,1,0,1,0,0,0
nizhgma.ru,202,1,201,99,1,91,11,0
sahifa.tj,1,0,1,0,1,0,0,0
smart-apple.ru,22,22,0,0,15,7,0,0
mus-download.ucoz.ua,1,1,0,0,0,0,1,0
portaltattoo.ru,56,40,16,6,23,19,8,0
99megabit.ru,1,0,1,0,1,0,0,0
kartingrf.ru,4,4,0,0,0,4,0,0
infanta.ru,2,1,1,0,2,0,0,0
tyurma.com,1,1,0,0,1,0,0,0
ulanude.rabotavgorode.ru,39,39,0,0,0,0,39,0
lego-auto.ru,1,1,0,0,1,0,0,0
muravei-shop.ru,4,4,0,0,0,4,0,0
bujhm.livejournal.com,1,0,1,0,1,0,0,0
ножи-витязь.рф,14,0,14,14,0,0,0,0
pokroyka.ru,39,7,28,3,5,7,17,3
online.mts.ru,1,0,1,0,1,0,0,0
vita-schola.ru,3,2,1,0,0,2,1,0
polmechty.ru,9,6,3,0,5,3,1,0
galleries.cosplaybabes.xxx,1,1,0,1,0,0,0,0
nicstroy.ru,3,2,1,0,0,2,1,0
muzoboss.ru,7,0,7,0,5,2,0,0
rudana.com.ua,3,0,3,0,0,0,3,0
helpzaochnik.ru,1,0,1,0,1,0,0,0
photoshop-info.ru,1,1,0,0,0,1,0,0
detstvo.ru,1,1,0,0,1,0,0,0
fotokonkurs.ru,34,2,32,0,2,32,0,0
aupam.narod.ru,84,45,35,15,32,28,2,3
goto1c.blogspot.ru,3,0,3,0,3,0,0,0
nizhnij-novgorod.bestru.ru,1,1,0,0,1,0,0,0
kerama.by,4,0,4,0,4,0,0,0
salat.by,2,0,2,0,1,1,0,0
smotret.pw,1,1,0,0,0,1,0,0
ceny.rascenki.net,3,3,0,0,0,3,0,0
baltkani.ru,4,4,0,0,4,0,0,0
li.ru,3,1,2,0,1,2,0,0
vestiprim.ru,2422,228,2166,4,321,2032,30,7
nikeplast.ru,1,0,1,0,0,1,0,0
adt.by,5,3,2,0,3,2,0,0
usetheweb.ru,2,0,2,2,0,0,0,0
iron-kovka.ru,1,1,0,1,0,0,0,0
football.by,1,1,0,0,0,1,0,0
xn--80aafeg3bveo.dp.ua,3,0,3,0,0,0,3,0
peugeot-club.ru,7,7,0,1,3,2,1,0
chinchilka.ucoz.ru,3,0,3,0,0,3,0,0
acnenomor.com,4,4,0,0,3,1,0,0
notesnet.ru,1,1,0,0,1,0,0,0
7sekretov.ru,1,0,1,1,0,0,0,0
webdesign.about.com,1,1,0,0,1,0,0,0
multibrends.ru,1,0,1,0,1,0,0,0
kotdema.ru,1,1,0,0,0,1,0,0
metaltd.ru,1,0,1,0,1,0,0,0
xn--80aajtdglkd1axx.xn--p1ai,15,0,15,0,12,3,0,0
habarovsk.telkniga.com,1,1,0,0,0,1,0,0
e-rentier.ru,105,102,3,91,11,0,3,0
viascom.ru,2,2,0,0,2,0,0,0
libra.astrozodiak.org,3,3,0,0,3,0,0,0
baffin-world.ru,8,6,2,0,0,0,8,0
axicxema.ucoz.ru,1,1,0,0,1,0,0,0
angarskaya.minsk.second.by,12,6,5,0,8,3,0,0
valesh.ru,3,0,3,3,0,0,0,0
topcraft.ru,5,0,5,0,5,0,0,0
wapmp3.zafa.us,1,1,0,0,1,0,0,0
ringfm.ee,1,1,0,0,1,0,0,0
kia-forums.com,4,4,0,0,4,0,0,0
zhenihov.net,41,17,24,0,24,5,0,12
nano-rf.ru,2,2,0,0,1,1,0,0
naruto-animes.3dn.ru,4,0,4,0,0,4,0,0
b.localpages.com,3,3,0,3,0,0,0,0
debuntu.ru,8,8,0,0,8,0,0,0
